item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0448,28472092,102082,SIN.S/N 102082,KF,MBW,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0450,28472093,102083,SIN.S/N 102083,KF,S/M,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0449,28472094,102084,SIN.S/N 102084,KF,S/M,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0432,28472095,102085,SIN.S/N 102085,AKF,102085,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0363,28472096,102086,SIN.S/N 102086,IS,102086,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0364,28472097,102087,SIN.S/N 102087,IS,102087,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0363,28472098,102088,SIN.S/N 102088,IS,102088,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0363,28472099,102089,SIN.S/N 102089,IS,102089,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0363,28472100,102090,SIN.S/N 102090,IS,102090,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472101,102091,SIN.S/N 102091,IS,102091,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472102,102092,SIN.S/N 102092,IS,102092,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472103,102093,SIN.S/N 102093,IS,102093,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
